Tickers,Amount,PricePerShare,PricePerShare(Euro)
T,148,30.37,27.61
AMD,123,78.5,67.1
GOOG,3,1400.2,1272.91
AMZN,6,3066.37,2620.83
DIS,75,121.28,103.66
JNJ,16,141.37,128.52
MSFT,96,204.83,175.07
NVDA,40,437.08,373.58
TSM,389,65.1,55.64
TSLA,75,348.43,297.81
NOK,835,4.22,3.61
PYPL,37,169.77,154.34
